Vehicle_Model,Mileage,Maintenance_History,Reported_Issues,Vehicle_Age,Fuel_Type,Transmission_Type,Engine_Size,Odometer_Reading,Owner_Type,Insurance_Premium,Service_History,Accident_History,Fuel_Efficiency,Tire_Condition,Brake_Condition,Battery_Status,Need_Maintenance,Last_Service_Days,Warranty_Days_Left
4,58765,1,0,4,1,0,2000,28524,1,20782,6,3,13.622203799218738,1,1,2,1,797,-218
5,60353,0,1,7,1,0,2500,133630,1,23489,7,0,13.625306851087116,1,1,2,1,860,-238
0,68072,2,0,2,1,0,1500,34022,0,17979,7,0,14.306302358933324,1,0,2,1,946,-276
0,60849,0,4,5,2,0,2500,81636,1,6220,7,3,18.70946666159111,1,2,1,1,888,-84
0,45742,2,5,1,2,1,2000,97162,2,16446,6,2,16.977482496741302,0,0,2,1,979,-136
4,31653,0,2,1,0,0,800,70954,2,16813,5,3,15.954422058940413,2,0,1,0,900,-510
2,51211,0,2,8,0,0,2500,145563,1,21057,10,0,16.455703179594124,1,0,1,0,746,-192
5,79093,2,2,2,2,0,2000,132354,0,6498,3,1,12.128403743453015,0,1,1,1,992,16
3,59673,1,2,6,1,1,800,85733,0,12787,9,1,11.558026772712031,2,0,2,1,1027,-282
0,37001,1,2,9,0,0,1500,8554,2,20860,9,1,12.78724817721793,2,1,1,0,907,-259
0,49494,0,5,10,1,0,1000,51817,2,27415,5,1,15.544371498504372,1,1,1,1,812,-454
1,71128,2,3,4,2,0,1000,35751,0,24050,6,1,16.38821978073295,2,1,2,1,940,-370
0,61711,2,4,8,2,0,2000,118508,2,11946,10,0,13.925943354074256,2,1,2,1,709,-133
1,37517,1,4,3,2,1,2500,64195,2,25766,3,1,11.613510563693447,1,1,0,1,1023,-276
1,51152,2,5,6,0,1,2500,36403,1,22592,8,2,16.33998023040846,2,0,1,1,997,-253
3,61396,2,5,1,2,1,1500,80856,2,10096,4,3,10.072711963951075,0,2,2,1,864,-117
0,64440,2,0,7,0,1,800,6493,0,28210,7,3,13.736122939922982,2,0,1,0,796,-478
2,37956,0,0,3,1,0,1000,143432,1,21658,3,3,10.00713008268694,2,1,1,0,858,-170
0,44751,2,3,3,0,0,1000,7755,1,29066,10,1,16.24308027793596,0,0,1,1,736,-4
0,41951,1,1,7,2,0,1000,104771,2,14615,5,1,15.679092424869827,1,2,1,1,958,-492
2,45495,2,1,6,0,1,800,88476,1,19785,1,2,17.481080313313978,2,0,2,1,796,6
3,63280,0,3,2,0,0,800,28975,0,13081,6,0,10.73770289647689,2,0,0,1,929,-637
2,79936,0,0,10,1,0,1500,15052,0,23551,10,3,16.22524022193386,2,1,2,1,1004,-108
0,74528,2,1,7,1,0,2000,108851,1,21870,5,1,13.427150415825206,2,0,1,0,961,-162
1,34005,2,0,2,0,1,2500,71423,1,10301,6,3,13.85904926087158,0,2,2,1,780,-585
1,49957,1,5,7,1,0,800,42971,2,27358,8,2,17.03695635141876,2,1,0,1,826,-69
2,36652,1,5,9,1,0,2000,88775,1,14164,9,0,19.18580254211249,0,1,2,1,824,-345
