Vehicle_Model,Mileage,Maintenance_History,Reported_Issues,Vehicle_Age,Fuel_Type,Transmission_Type,Engine_Size,Odometer_Reading,Owner_Type,Insurance_Premium,Service_History,Accident_History,Fuel_Efficiency,Tire_Condition,Brake_Condition,Battery_Status,Need_Maintenance,Last_Service_Days,Warranty_Days_Left
Truck,58765,Good,0,4,Electric,Automatic,2000,28524,Second,20782,6,3,13.622203799218738,New,New,Weak,1,797,-218
Van,60353,Average,1,7,Electric,Automatic,2500,133630,Second,23489,7,0,13.625306851087116,New,New,Weak,1,860,-238
Bus,68072,Poor,0,2,Electric,Automatic,1500,34022,First,17979,7,0,14.306302358933324,New,Good,Weak,1,946,-276
Bus,60849,Average,4,5,Petrol,Automatic,2500,81636,Second,6220,7,3,18.70946666159111,New,Worn Out,New,1,888,-84
Bus,45742,Poor,5,1,Petrol,Manual,2000,97162,Third,16446,6,2,16.977482496741302,Good,Good,Weak,1,979,-136
Truck,31653,Average,2,1,Diesel,Automatic,800,70954,Third,16813,5,3,15.954422058940413,Worn Out,Good,New,0,900,-510
Motorcycle,51211,Average,2,8,Diesel,Automatic,2500,145563,Second,21057,10,0,16.455703179594124,New,Good,New,0,746,-192
Van,79093,Poor,2,2,Petrol,Automatic,2000,132354,First,6498,3,1,12.128403743453015,Good,New,New,1,992,16
SUV,59673,Good,2,6,Electric,Manual,800,85733,First,12787,9,1,11.558026772712031,Worn Out,Good,Weak,1,1027,-282
Bus,37001,Good,2,9,Diesel,Automatic,1500,8554,Third,20860,9,1,12.78724817721793,Worn Out,New,New,0,907,-259
Bus,49494,Average,5,10,Electric,Automatic,1000,51817,Third,27415,5,1,15.544371498504372,New,New,New,1,812,-454
Car,71128,Poor,3,4,Petrol,Automatic,1000,35751,First,24050,6,1,16.38821978073295,Worn Out,New,Weak,1,940,-370
Bus,61711,Poor,4,8,Petrol,Automatic,2000,118508,Third,11946,10,0,13.925943354074256,Worn Out,New,Weak,1,709,-133
Car,37517,Good,4,3,Petrol,Manual,2500,64195,Third,25766,3,1,11.613510563693447,New,New,Good,1,1023,-276
Car,51152,Poor,5,6,Diesel,Manual,2500,36403,Second,22592,8,2,16.33998023040846,Worn Out,Good,New,1,997,-253
SUV,61396,Poor,5,1,Petrol,Manual,1500,80856,Third,10096,4,3,10.072711963951075,Good,Worn Out,Weak,1,864,-117
Bus,64440,Poor,0,7,Diesel,Manual,800,6493,First,28210,7,3,13.736122939922982,Worn Out,Good,New,0,796,-478
Motorcycle,37956,Average,0,3,Electric,Automatic,1000,143432,Second,21658,3,3,10.00713008268694,Worn Out,New,New,0,858,-170
Bus,44751,Poor,3,3,Diesel,Automatic,1000,7755,Second,29066,10,1,16.24308027793596,Good,Good,New,1,736,-4
Bus,41951,Good,1,7,Petrol,Automatic,1000,104771,Third,14615,5,1,15.679092424869827,New,Worn Out,New,1,958,-492
Motorcycle,45495,Poor,1,6,Diesel,Manual,800,88476,Second,19785,1,2,17.481080313313978,Worn Out,Good,Weak,1,796,6
SUV,63280,Average,3,2,Diesel,Automatic,800,28975,First,13081,6,0,10.73770289647689,Worn Out,Good,Good,1,929,-637
Motorcycle,79936,Average,0,10,Electric,Automatic,1500,15052,First,23551,10,3,16.22524022193386,Worn Out,New,Weak,1,1004,-108
Bus,74528,Poor,1,7,Electric,Automatic,2000,108851,Second,21870,5,1,13.427150415825206,Worn Out,Good,New,0,961,-162
Car,34005,Poor,0,2,Diesel,Manual,2500,71423,Second,10301,6,3,13.85904926087158,Good,Worn Out,Weak,1,780,-585
Car,49957,Good,5,7,Electric,Automatic,800,42971,Third,27358,8,2,17.03695635141876,Worn Out,New,Good,1,826,-69
